User ID,User Name,Check Time,Status
1,Carol,2024/11/01 15:30:37,OUT
1,Carol,2024/11/01 15:15:00,IN
1,Carol,2024/11/01 14:30:37,OUT
1,Carol,2024/11/01 08:15:00,IN
2,Alice,2024/11/01 08:05:00,IN
2,Alice,2024/11/01 17:10:00,OUT
3,Bob,2024/11/01 09:10:00,IN
3,Bob,2024/11/01 18:20:00,OUT
4,David,2024/11/01 07:35:00,IN
4,David,2024/11/01 16:40:00,OUT
5,Eve,2024/11/01 08:20:00,IN
5,Eve,2024/11/01 17:25:00,OUT
1,Carol,2024/11/02 08:10:00,IN
1,Carol,2024/11/02 17:45:00,OUT
2,Alice,2024/11/02 08:00:00,IN
2,Alice,2024/11/02 17:15:00,OUT
3,Bob,2024/11/02 09:05:00,IN
3,Bob,2024/11/02 18:25:00,OUT
4,David,2024/11/02 07:30:00,IN
4,David,2024/11/02 16:35:00,OUT
5,Eve,2024/11/02 08:25:00,IN
5,Eve,2024/11/02 17:30:00,OUT
1,Carol,2024/11/03 09:00:00,IN
1,Carol,2024/11/03 08:00:00,OUT  # Abnormal: OUT before IN
2,Alice,2024/11/03 08:00:00,IN
2,Alice,2024/11/03 08:30:00,IN  # Abnormal: Multiple IN without OUT
3,Bob,2024/11/03 18:25:00,OUT
3,Bob,2024/11/03 09:05:00,IN  # Abnormal: IN after OUT
4,David,2024/11/03 07:30:00,IN
4,David,2024/11/03 16:35:00,OUT
5,Eve,2024/11/03 08:25:00,IN
5,Eve,2024/11/03 17:30:00,OUT
5,Eve,2024/11/03 18:00:00,OUT  # Abnormal: Multiple OUT without IN
